Investigation.Type,Accident.Number,Event.Date,Location,Country,Injury.Severity,Aircraft.damage,Aircraft.Category,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,Purpose.of.flight,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Weather.Condition,Broad.phase.of.flight,Total.Injuries
Accident,FTW97LA091,1997-01-25,"MIDLAND, TX",United States,Non-Fatal,Substantial,unknown,cessna,182A,No,1.0,Reciprocating,Other Work Use,0.0,0.0,0.0,1.0,VMC,Approach,0.0
Accident,SEA97LA052,1997-01-26,"CHEHALIS, WA",United States,Non-Fatal,Destroyed,unknown,piper,PA-28RT-201,No,1.0,Reciprocating,Personal,0.0,1.0,1.0,0.0,VMC,Takeoff,2.0
Accident,SEA97LA053,1997-01-26,"TOLEDO, WA",United States,Non-Fatal,Substantial,unknown,cessna,170B,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Landing,0.0
Accident,FTW97LA090,1997-01-26,"BROWNSVILLE, TX",United States,Non-Fatal,Substantial,unknown,piper,PA-28-151,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Approach,0.0
Accident,FTW97LA089,1997-01-26,"BROWNSVILLE, TX",United States,Non-Fatal,Substantial,unknown,piper,PA-38-112,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,1.0,VMC,Go-around,0.0
Accident,FTW97FA092,1997-01-27,"MAYHILL, NM",United States,Fatal(3),Destroyed,unknown,beech,95-B55,No,2.0,Reciprocating,Business,3.0,0.0,0.0,0.0,IMC,Cruise,3.0
Accident,MIA97LA076,1997-01-27,"TAMPA, FL",United States,Non-Fatal,Substantial,unknown,cessna,U206D,No,1.0,Reciprocating,Unknown,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,CHI97LA066,1997-01-27,"SPRINGFIELD, MO",United States,Non-Fatal,Substantial,unknown,cessna,414,No,2.0,Reciprocating,Business,0.0,0.0,0.0,2.0,IMC,Landing,0.0
Accident,LAX97LA095,1997-01-28,"CORONA, CA",United States,Non-Fatal,Substantial,unknown,cessna,172RG,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,1.0,VMC,Landing,0.0
Accident,NYC97LA049,1997-01-29,"NORTH ANDOVER, MA",United States,Non-Fatal,Destroyed,unknown,cessna,152,No,1.0,Reciprocating,Personal,0.0,0.0,0.0,2.0,VMC,Approach,0.0
Accident,FTW97LA094,1997-01-29,"LAKE JACKSON, TX",United States,Non-Fatal,Destroyed,unknown,enstrom,F-28C,No,1.0,Reciprocating,Instructional,0.0,0.0,0.0,2.0,VMC,Takeoff,0.0
Accident,ANC97FA024,1997-01-29,"SPARREVOHN, AK",United States,Fatal(1),Destroyed,unknown,de havilland,DHC-4A,No,2.0,Reciprocating,Unknown,1.0,1.0,0.0,0.0,VMC,Cruise,2.0
Accident,FTW97LA095,1997-01-30,"BOSWELL, OK",United States,Non-Fatal,Substantial,unknown,piper,PA-38-112,No,1.0,Reciprocating,Instructional,0.0,0.0,1.0,0.0,VMC,Cruise,1.0
Accident,FTW97FA097,1997-01-31,"GUTHRIE, OK",United States,Fatal(2),Destroyed,unknown,cessna,152,No,1.0,Reciprocating,Instructional,2.0,0.0,0.0,0.0,VMC,Maneuvering,2.0
Incident,ATL97IA035,1997-01-31,"ATLANTA, GA",United States,Incident,Minor,unknown,boeing,757-232,No,2.0,Turbo Fan,Unknown,0.0,0.0,0.0,168.0,VMC,Climb,0.0
Accident,LAX97LA098,1997-01-31,"SCOTTSDALE, AZ",United States,Non-Fatal,Substantial,unknown,bellanca,17-30A,No,1.0,Reciprocating,Personal,0.0,0.0,2.0,0.0,VMC,Approach,2.0
